branch_name,city
Adly Mansour Metro Station,"Adly Mansour Central Station, 10th Park inside Metro Station"
Agora Mall,Agora Mall - Ground Floor - Fifth Settlement
Ain Shams Law,Ain Shams University - Faculty of Law
Ain Shams University,Ain Shams University -Faculty Of Commerce
Ain Shams University 3,Ain Shams University - Faculty of Arts
AirPort T1,Old Airport T1
AirPort T2,New Airport Terminal 2
AirPort T2-G,Airport T2 in front of the Multi Garage
AirPort T3-F,New Airport 3 - corridor F
AirPort T3-G,New Airport 3 - corridor G
Al Far Market,"South 90th Street, Fifth Settlement, in front of Concord Plaza Mall."
Al Husseini to go,"Al-Husseiny Mall, Al-Tagamoa, next to the first Nakheel Compound, New Cairo, Cairo Governorate"
Al Qasr Al Ainy,"93 Kasr El Aini Street, Shop No. 13/9, next to Rosa El Youssef"
Al Rehab - Eastern Market,Food Cour
Al-Ahly Club Al-Jazira,Al-Tetch Stadium in front of the halls gate
Al-Manara 1,International Conference Center El-Moshir Tantawy Axis -next to Hall 1
Al-Manara 2,International Conference Center El-Moshir Tantawy Axis -next to Hall 4
Almaza Avenue branch,Almaza Avenue New Mall next to Misr Aviation Hospital - Heliopolis
Arabella,"Arabella New Mall, Third Settlement, Next to Ezz El Din Pharmacy, New Cairo"
Avenue Mall -Al Rehab,"Avenue Mall, next to the Civil Registry, second floor, New Cairo, Rehab, Cairo"
Bavaria Town El-Maadi,12 Bavaria Town beside EG-Bank infront of El Baron
Cairo Festival City 1,"Ring Road with the ninety Street In front of the fountain , next to the Police Academy"
Carrefour - Al Rehab,"Avenue Mall - Group 130 Al Rehab 2, Al Rehab City"
Carrefour - Al Zaytoun,"El-Aziz Bellah, El-Zaytoun Sharkeya, Zaytoun"
Carrefour - Mirage Mall,Carrefour Market - Mirage Mall -The 1st Settlement
Carrefour - Mivida,90th Street . Mivida Compound-5th Settlement
Carrefour - Saraya Mall,"Extension of Wali Al Aahd St , Hadaeq Al Qubbah"
Carrefour Golf Salah Salem,"Salah Salem Road beside Air Force House , Nasr City -Cairo"
Carrefour- City Center Almaza,"Suez Road, Sheraton Al Matar, Nasr City."
Carrefour-Al Hamad Mall,"79 Axis, First New Cairo"
Carrefour-Helwan,"Mostafa Fahmy Street, Helwan, Cairo."
Carrefour-Mega Mall,Carrefour Mega Mall - 5th Settlement - New Cairo.
Carrefour-New Maadi,Carrefour New Maadi.
Carrefour-Tiba Mall,"4 Anwar Mufti.st, - Al Nasser Street - Nasr City"
Carrefour-Tora Al Asmnt,"55 Corniche El Nil, Tora Al Asmnt, Maadi"
CFC 2,"Ring Road with the ninety Street next to Carrefour , next to the Police Academy"
ChillOut AlRehab,Chillout Gas station - Al Rehab - New Cairo.
ChillOut AlShouyfat,The entrance to AlShouyfat - the first entrance to the Compound Golf Katameya - Gas station Chillout.
City Center Almaza,"Almaza Airport, Sheraton ,Airport, Cairo"
City Center Maadi 2,Ring Road - Eastern Basateen - Al Basateen - Cairo
City Stars 1,"Omar Ibn El Khattab St ,City Stars Mall , 1st Floor , Nasr City"
City Stars 3,"Omar Ibn El Khattab St ,City Stars Mall , 4th Floor , Nasr City"
Civilization Museum,Civilization Museum - Al Fustat
College of Education,"Faculty of Education, in front of ChillOut Roxy gas station inside the college"
Concord Plaza,"Ninety Street, Fifth Settlement, Concord Plaza Mall"
District 5 Mall,District 5 Mall-Ain El Soukhna Road-Industrial Area
Down Town Mall,"Ninety Street, Fifth Settlement"
East Hub Madinaty,East Hub Mall Madinaty front of Craft Zone
Egypt Station 1,"Egypt Station , Ramsis Square, Al Fagalah, Al Azbakeya, Cairo Governorate"
Egypt Station 2,"Misr Station, Ramses Square, Faggala, Azbakeya, Cairo Governorate, in front of the station"
El Korba,"18 Nazih Khalifa Street, El Korba, Heliopolis, in front of Al-Thawra Hospital , Next to CIB Bank"
El Maadi,62 Street 9 next to the Maadi Sknat station
El Manial,81 Main Manial Street.
Fathalla Market-Al Rehab,"Sadat Axis , Beginning of New Cairo , Cairo Governorate"
Fresh Food Market-Point 90,In front of American University Gate 5 - Point 90 Mall
Gateway Mall - Al Rehab,"Gateway Mall, next to Alfa Market, Gate 13, Al Rehab"
Girls College,Girls College- Merghany - inside the college
Global Medical City,"Al Manteqah al Sadesah, Nasr City, Cairo"
Go Bus,"Sixth district, Next to Zanusi Company Nasr City, Cairo"
Hadayek Al Kobba,"156 Egypt and Sudan Street, next to Al-Youm Fish Restaurant"
Heliopolis star,Heliopolis Star - Heliopolis
Helwan,"40 Ragheb Street, intersection of Mohamed Sayed Ahmed Street, in front of KFC and Jad Restaurant"
Helwan University,Helwan University - next to the commercial center - and runway 4
Lake House,"Lake House, 90th Street, next to Doucid Hotel, inside Lake House Club"
Lake View,"Ninety Street, behind the Air Force Hospital, Fifth Settlement"
lulu Heliopolis,Lulu District Mall - Wadi Degla after National Gas Station
Lulu Market-New Cairo,"First Settlement, Lulu Market Mall, next to the Police Academy, first floor"
Maadi 50,"50th Street Zahraa Al Maadi, next to KFC and QNB Bank"
Maadi Laselki St.,"Street 216, Ezbet Fahmy, From Laselki St."
Madinaty,Madinaty Road in front of Carrefour
Madinaty Food Hall,Open Air Mall Building F
Madinaty-Craft Zone,"Madinaty ,Craft Zone , New Cairo"
Makram Ebeid,"90 Makram Ebeid Street, Nasr City, next to Cafe Beanos"
Merghany branch,"105 El-Sayed El-Marghani Street, Heliopolis, next to tortina For Sweets"
Metro Ahly Club,"17 El Ahram St., In front of Normandy Cinema , El Korba"
Metro Genena Mall,6 El-Batrawy Korba
Metro Heliopolis,"18 Al Khalifa Al Ma'mun, Manshiet al-Bakri"
Metro Market - El Korba,"17 El Ahram St., In front of Normandy Cinema , El Korba"
Metro Market - Roxi,"Booth18 Al Khalifa Al Ma'mun, Manshiet al-Bakri"
Metro Market-Al Ahly Club,"84 Hassan Ma'moon, Al Manteqah as Sadesah, Ahly Club St, Nasr City"
Metro Market-Al Mokattam,"16, 9 Street El Nafoura Sq. Mokattam, Cairo In Front Of National Bank Of Egypt"
Metro Market-Al Rehab,"Ground Floor, Rehab Mall, Talaat Mostafa Street."
Metro Market-Maadi,"53 Masr - Helwan Agriculture Road, Maadi."
Metro Market-Panorama Mall,"Inside Panorama El Shorouk Mall, El Shorouk City, New Cairo"
Mivida,"The Fifth Settlement, after the American University, the club inside the Mivida Compound"
Mokattam,"23 , 9 Street , Mokattam."
Morshedy Degla View,"Middle plateau,Salah El Din St. Gate (B31), in front of Carrefour and Adidas store"
Morshedy One Kattameya,One Kattameya - Al Morshedy Complex - Mohamed Zaki Square - Building 214
Mostafa El Nahas,"16 Mostafa El Nahhas, 6th District, Nasr City, next to Primus Pizza"
Negmet Heliopolis - Shiraton,Market Jamal Salama next to Nuzha Traffic Department - Sheraton
Negmet Heliopolis-Gamee Square,"5 Al Ramla street, El-Bostan, Heliopolis, Cairo Governorate"
Open Air 2 - Madinty,Open Air Mall - next to Asfour Crystal Shop
Open Air 3 - Madinty,Open Air Mall -Kids Area-Polt C
Oscar Grand Stores - Heliopolis,"105 Omar Ibn El-Khattab, Almazah, Heliopolis"
Oscar Grand Stores - Maadi,"Main Zahraa Street in Zahraa Al Maadi, Rihana Plaza Tower , near to Vodafone"
Oscar Grand Stores-Tagamoa,"Plot 425, 90th Street. Sector 3, 5th Compound, New cairo."
Panda ElMaadi,"7A Nile Corniche, Dallah Tower, Maadi District, Cairo"
Panda Market,"7 El-Nasr Rd, 6th District, Nasr City"
Pearl Mall,"Pearl Mall, 90th Street intersection on the main axis"
Petrojet,Petrojet branch inside the company. Working hours are from Sunday to Thursday from 8 am to 3 pm
Petrojet Booth,"Petrojet Company, 90th Street, next to Downtown Mall"
Qasr El-Nil,56 Qasr El Nil in front of Wafa Bank & Alex Bank
Residence Hotel,Residence Hotel - First Settlement-Inside the Hotel
Royal House Al Shorouk,"El Sadat Rd, El Shorouk, beside Terrace Mall"
Royal House Market-Merryland,"6 Roxy St, in front of Merryland Park behind Othman Ahmed Othman Buildings"
Seoudi Market-City Stars,"Omar Ibn El Khattab St ,City Stars Mall , Nasr City"
Seoudi Market-Water Way,"22 A, The Waterway Compound, New cairo, Inside W Mall, Ground Floor."
Sheraton Heliopolis,"24 Sayed Zakaria Street Sheraton , In front of cilantro"
Sherif St.,"13 Sherif Street, Downtown, next to the Ministry of Endowments"
Shorouk Sky Plaza,"El Shorouk City, Gate 1, Cairo Ismailia Road"
Shoubra,"70th Shoubra Street , Between Massara & Rood El Farag."
Shoubra 2,41 A Shubra Street
Sixty Walk Mall,"Administrative Capital, Government District, next to the Ministry of Finance, Sixty Mall"
South Gate New cairo,"90th Street, South Gate Mall, next to Banque Misr, the front side parallel to Concord Plaza Mall"
Spinneys Al-Shorouk,City Plaza Mall - Al-Shuhada Road - next to the British University and Al-Shorouk Academy - Al-Shorouk
Spinneys Maxim Mall,"North 90th Street,Inside Spinneys Maxim Mall,Fifth Settlement"
Spinneys-Arena Mall,"Banks Center , 90th Street , First New Cairo."
Spinneys-Maadi,"Street 250, Maadi at Sarayat Al Gharbeyah, opposite to Maadi Grand Mall."
Spinneys-Pearl Des Rois,"End of AUC St, beside Banque Misr, 3rd Settlement"
Spinneys-Zahraa Al-Maadi,"Hub, 50 Mall Zahraa Al Maadi, Cairo"
The Park Mall,"Park Mall ,5th Settlement, in front of Lulu Hypermarket beside Porto Cairo Hotel near to American Uni."
Tseppas - Genena Mall,"9 El Batrawy Street, Genena Mall, Nasr City"
Tseppas Heliopolis,"45 Abu Bakr Al-Siddiq St., Intersection of Haroun St., Court Square, Heliopolis, Cairo, in front of Al-Nasr Schools."
Up Town-Moktam,The new plaza in front of Celestia Gardens
Wadi Degla - Settlement,Nakheel Compound - First Settlement - Wadi Degla Club - Tennis Area
Wadi Degla Maadi,The 4th part Zahraa Maadi beside the Kuwaiti mosque inside the club Gate 4
Watania-Al Rehab,In front of Gate 1 Al-Rehab - Cairo Tahrir Axis
Watanya El-Maadi,"SaKr Kuraish Road, in front of Banque Misr, From Al-Nasr Street, next to American Aid and McDonald's"
Zamalek Brazil,"5 Brazil Street, Zamalek, in front of Orange"
Zamalek Taha Husein,"2 Taha Hussein, in front of Al Yamamah Center, next to the National Bank of Kuwait. Shop More at Physical Stores Online Stores"
