id,name,location,type
1001,حورس مول,"ش الثورة تقاطع ش عمر بن الخطاب, مدينة نصر, القاهرة.",مول
1002,خريشة مول,"11 ش نصوح, الزيتون, القاهرة.",مول
1003,خلود سيتى مول,"154 ش الترعة البولاقية, شبرا, القاهرة.",اكسسوارات حريمى
1004,دارك مول,"41 ش المراغى, تقاطع ش راغب, حلوان, القاهرة.",منتجات ادوات منزلية
1005,دبليو مول,"22 أ محور محمد نجيب, ذا ووتر واى كمباوند, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",مول
1006,دريم مول,"22 ش مصطفى حافظ, عين شمس, القاهرة.",محلات ملابس
1007,دريم مول,"ش المحطة, حلوان, القاهرة.",مستحضرات تجميل
1008,دريمز مول,"القطعة 56, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1009,دريمز مول 2,"ش التسعين الجنوبى, قطاع 4, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1010,دناز مول,"منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1011,دهب مول,"36 ش شريف, تقاطع ش حيدر, حلوان, القاهرة.",مول
1012,دور 39 مينى مول,"39 ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",تصميم داخلي
1013,ديدى مول,"ش ام كلثوم, التجمع الاول, القاهرة الجديدة, القاهرة.",مول
1014,ديستريكت فايف,"طريق العين السخنة, القطامية, القاهرة.",مول
1015,دينا مول,"ش دسوقى  متفرع من ش الجيش, العتبة, القاهرة.",محلات ملابس
1016,ذا ارينا مول,"ش مجمع البنوك, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1017,ذا ديستريكت مول,"طريق النصر, مساكن شيراتون, مصر الجديدة, القاهرة.",مول
1018,ذا سبوت مول,", محور العبور, المستثمرين الجنوبية, القاهرة الجديدة, القاهرة.",مول
1019,ذا ستريب مول,"طريق طلعت مصطفى, مدينتى, القاهرة.",مول
1020,ذا فونت,"القطعة 28أ ش عبد الله بن سلامة, متفرع من ش التسعين الشمالى, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",مول
1021,ذا فيرن مول,"26 ش الثورة, الماظة, مصر الجديدة, القاهرة.",مول
1022,ذا كورنر مول,"محور السادات, التجمع الاول, القاهرة الجديدة, القاهرة.",مول
