id,rate_card_id,trade_id,normal_hourly,after_hours_hourly,min_billable_hours,trip_charge,notes,min_invoice
1,e0f18245-887c-4bc6-a3e4-1bac231596da,1,100.00,150.00,1.50,50.00,تشخيص + صيانة أعطال عامة,200.00
2,e0f18245-887c-4bc6-a3e4-1bac231596da,2,100.00,150.00,1.50,50.00,أعطال وتسريبات ومحابس,200.00
3,e0f18245-887c-4bc6-a3e4-1bac231596da,3,95.00,145.00,1.50,50.00,أبواب، شبابيك، أثاث,192.50
4,e0f18245-887c-4bc6-a3e4-1bac231596da,4,115.00,175.00,2.00,75.00,واجهات، أبواب أوتوماتيك,305.00
5,e0f18245-887c-4bc6-a3e4-1bac231596da,5,125.00,185.00,2.00,75.00,توريد/تركيب/صيانة,325.00
6,e0f18245-887c-4bc6-a3e4-1bac231596da,6,120.00,180.00,2.00,75.00,غاسات، شحن فريون، بوردات,315.00
7,e0f18245-887c-4bc6-a3e4-1bac231596da,7,140.00,200.00,2.00,90.00,تشغيل/صيانة ثقيلة,370.00
8,e0f18245-887c-4bc6-a3e4-1bac231596da,8,115.00,175.00,2.00,75.00,كاميرات، أكسس، تسجيل,305.00
9,e0f18245-887c-4bc6-a3e4-1bac231596da,9,95.00,145.00,1.50,50.00,جبس بورد، شبكات,192.50
10,e0f18245-887c-4bc6-a3e4-1bac231596da,10,90.00,140.00,1.50,50.00,دهانات تجديد وصيانة,185.00
11,e0f18245-887c-4bc6-a3e4-1bac231596da,11,100.00,150.00,1.50,50.00,سيراميك، فينيل، إيبوكسي,200.00
12,e0f18245-887c-4bc6-a3e4-1bac231596da,12,95.00,145.00,1.50,50.00,تقويات وإصلاحات,192.50
13,e0f18245-887c-4bc6-a3e4-1bac231596da,13,115.00,175.00,2.00,75.00,لوحات مضيئة وصيانة,305.00
14,e0f18245-887c-4bc6-a3e4-1bac231596da,14,100.00,150.00,1.50,50.00,تشطيبات خفيفة,200.00
15,e0f18245-887c-4bc6-a3e4-1bac231596da,15,95.00,145.00,1.50,50.00,إصلاحات شروخ وترميم,192.50
16,e0f18245-887c-4bc6-a3e4-1bac231596da,16,120.00,180.00,2.00,75.00,عزل أسطح وحمامات,315.00
17,e0f18245-887c-4bc6-a3e4-1bac231596da,17,100.00,150.00,1.50,50.00,مفصلات، أقفال، أتوماتيك,200.00
18,e0f18245-887c-4bc6-a3e4-1bac231596da,18,120.00,180.00,2.00,75.00,مطابقات وتفتيش,315.00
19,e0f18245-887c-4bc6-a3e4-1bac231596da,19,85.00,135.00,1.00,40.00,مهام متعددة سريعة,125.00
20,e0f18245-887c-4bc6-a3e4-1bac231596da,20,95.00,145.00,1.50,50.00,زيارات دورية,192.50
